Age,Debt,Married,BankCustomer,Industry,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
30.83,0,1,1,Industrials,1.25,1,1,1,0,ByBirth,00202,0,1
58.67,4.46,1,1,Materials,3.04,1,1,6,0,ByBirth,00043,560,1
24.5,0.5,1,1,Materials,1.5,1,0,0,0,ByBirth,00280,824,1
27.83,1.54,1,1,Industrials,3.75,1,1,5,1,ByBirth,00100,3,1
20.17,5.625,1,1,Industrials,1.71,1,0,0,0,ByOtherMeans,00120,0,1
32.08,4,1,1,CommunicationServices,2.5,1,0,0,1,ByBirth,00360,0,1
33.17,1.04,1,1,Transport,6.5,1,0,0,1,ByBirth,00164,31285,1
22.92,11.585,1,1,InformationTechnology,0.04,1,0,0,0,ByBirth,00080,1349,1
54.42,0.5,0,0,Financials,3.96,1,0,0,0,ByBirth,00180,314,1
42.5,4.915,0,0,Industrials,3.165,1,0,0,1,ByBirth,00052,1442,1
22.08,0.83,1,1,Energy,2.165,0,0,0,1,ByBirth,00128,0,1
29.92,1.835,1,1,Energy,4.335,1,0,0,0,ByBirth,00260,200,1
38.25,6,1,1,Financials,1,1,0,0,1,ByBirth,00000,0,1
48.08,6.04,1,1,Financials,0.04,0,0,0,0,ByBirth,00000,2690,1
45.83,10.5,1,1,Materials,5,1,1,7,1,ByBirth,00000,0,1
36.67,4.415,0,0,Financials,0.25,1,1,10,1,ByBirth,00320,0,1
28.25,0.875,1,1,CommunicationServices,0.96,1,1,3,1,ByBirth,00396,0,1
23.25,5.875,1,1,Materials,3.17,1,1,10,0,ByBirth,00120,245,1
21.83,0.25,1,1,Real Estate,0.665,1,0,0,1,ByBirth,00000,0,1
19.17,8.585,1,1,InformationTechnology,0.75,1,1,7,0,ByBirth,00096,0,1
25,11.25,1,1,Energy,2.5,1,1,17,0,ByBirth,00200,1208,1
23.25,1,1,1,Energy,0.835,1,0,0,0,ByOtherMeans,00300,0,1
47.75,8,1,1,Energy,7.875,1,1,6,1,ByBirth,00000,1260,1
27.42,14.5,1,1,Utilities,3.085,1,1,1,0,ByBirth,00120,11,1
41.17,6.5,1,1,Materials,0.5,1,1,3,1,ByBirth,00145,0,1
15.83,0.585,1,1,Energy,1.5,1,1,2,0,ByBirth,00100,0,1
47,13,1,1,ConsumerDiscretionary,5.165,1,1,9,1,ByBirth,00000,0,1
56.58,18.5,1,1,Real Estate,15,1,1,17,1,ByBirth,00000,0,1
57.42,8.5,1,1,Education,7,1,1,3,0,ByBirth,00000,0,1
42.08,1.04,1,1,Industrials,5,1,1,6,1,ByBirth,00500,10000,1
29.25,14.79,1,1,ConsumerStaples,5.04,1,1,5,1,ByBirth,00168,0,1
42,9.79,1,1,Utilities,7.96,1,1,8,0,ByBirth,00000,0,1
49.5,7.585,1,1,ConsumerDiscretionary,7.585,1,1,15,1,ByBirth,00000,5000,1
36.75,5.125,1,1,Education,5,1,0,0,1,ByBirth,00000,4000,1
22.58,10.75,1,1,Materials,0.415,1,1,5,1,ByBirth,00000,560,1
27.83,1.5,1,1,Industrials,2,1,1,11,1,ByBirth,00434,35,1
27.25,1.585,1,1,InformationTechnology,1.835,1,1,12,1,ByBirth,00583,713,1
23,11.75,1,1,Utilities,0.5,1,1,2,1,ByBirth,00300,551,1
27.75,0.585,0,0,InformationTechnology,0.25,1,1,2,0,ByBirth,00260,500,1
54.58,9.415,1,1,Healthcare,14.415,1,1,11,1,ByBirth,00030,300,1
34.17,9.17,1,1,Energy,4.5,1,1,12,1,ByBirth,00000,221,1
28.92,15,1,1,Energy,5.335,1,1,11,0,ByBirth,00000,2283,1
29.67,1.415,1,1,Industrials,0.75,1,1,1,0,ByBirth,00240,100,1
39.58,13.915,1,1,Industrials,8.625,1,1,6,1,ByBirth,00070,0,1
56.42,28,0,0,Energy,28.5,1,1,40,0,ByBirth,00000,15,1
54.33,6.75,1,1,Energy,2.625,1,1,11,1,ByBirth,00000,284,1
41,2.04,0,0,Materials,0.125,1,1,23,1,ByBirth,00455,1236,1
31.92,4.46,1,1,InformationTechnology,6.04,1,1,3,0,ByBirth,00311,300,1
41.5,1.54,1,1,ConsumerDiscretionary,3.5,0,0,0,0,ByBirth,00216,0,1
23.92,0.665,1,1,Energy,0.165,0,0,0,0,ByBirth,00100,0,1
25.75,0.5,1,1,Energy,0.875,1,0,0,1,ByBirth,00491,0,1
26,1,1,1,Materials,1.75,1,0,0,1,ByBirth,00280,0,1
37.42,2.04,1,1,Industrials,0.04,1,0,0,1,ByBirth,00400,5800,1
34.92,2.5,1,1,Industrials,0,1,0,0,1,ByBirth,00239,200,1
34.25,3,1,1,InformationTechnology,7.415,1,0,0,1,ByBirth,00000,0,1
23.33,11.625,0,0,Industrials,0.835,1,0,0,1,ByBirth,00160,300,1
23.17,0,1,1,InformationTechnology,0.085,1,0,0,0,ByBirth,00000,0,1
44.33,0.5,1,1,ConsumerDiscretionary,5,1,0,0,1,ByBirth,00320,0,1
35.17,4.5,1,1,Utilities,5.75,0,0,0,1,ByOtherMeans,00711,0,1
43.25,3,1,1,Materials,6,1,1,11,0,ByBirth,00080,0,1
56.75,12.25,1,1,CommunicationServices,1.25,1,1,4,1,ByBirth,00200,0,1
31.67,16.165,1,1,Real Estate,3,1,1,9,0,ByBirth,00250,730,1
23.42,0.79,0,0,Materials,1.5,1,1,2,1,ByBirth,00080,400,1
20.42,0.835,1,1,Materials,1.585,1,1,1,0,ByBirth,00000,0,1
26.67,4.25,1,1,InformationTechnology,4.29,1,1,1,1,ByBirth,00120,0,1
34.17,1.54,1,1,InformationTechnology,1.54,1,1,1,1,ByBirth,00520,50000,1
36,1,1,1,Energy,2,1,1,11,0,ByBirth,00000,456,1
25.5,0.375,1,1,CommunicationServices,0.25,1,1,3,0,ByBirth,00260,15108,1
19.42,6.5,1,1,Industrials,1.46,1,1,7,0,ByBirth,00080,2954,1
35.17,25.125,1,1,Utilities,1.625,1,1,1,1,ByBirth,00515,500,1
32.33,7.5,1,1,Education,1.585,1,0,0,1,ByOtherMeans,00420,0,0
34.83,4,1,1,Real Estate,12.5,1,0,0,1,ByBirth,00000,0,0
38.58,5,1,1,InformationTechnology,13.5,1,0,0,1,ByBirth,00980,0,0
44.25,0.5,1,1,CommunicationServices,10.75,1,0,0,0,ByOtherMeans,00400,0,0
44.83,7,0,0,Energy,1.625,0,0,0,0,ByBirth,00160,2,0
20.67,5.29,1,1,Materials,0.375,1,1,1,0,ByBirth,00160,0,0
34.08,6.5,1,1,ConsumerStaples,0.125,1,0,0,1,ByBirth,00443,0,0
19.17,0.585,0,0,ConsumerStaples,0.585,1,0,0,1,ByBirth,00160,0,0
21.67,1.165,0,0,Financials,2.5,1,1,1,0,ByBirth,00180,20,0
21.5,9.75,1,1,Energy,0.25,1,0,0,0,ByBirth,00140,0,0
49.58,19,1,1,Healthcare,0,1,1,1,0,ByBirth,00094,0,0
27.67,1.5,1,1,CommunicationServices,2,1,0,0,0,ByOtherMeans,00368,0,0
39.83,0.5,1,1,CommunicationServices,0.25,1,0,0,0,ByOtherMeans,00288,0,0
28.46,3.5,1,1,Real Estate,3,1,0,0,1,ByBirth,00300,0,0
27.25,0.625,1,1,ConsumerStaples,0.455,1,0,0,1,ByBirth,00200,0,0
37.17,4,1,1,Energy,5,1,0,0,1,ByOtherMeans,00280,0,0
28.46,0.375,1,1,Real Estate,0.875,1,0,0,1,ByOtherMeans,00928,0,0
25.67,2.21,0,0,ConsumerStaples,4,1,0,0,0,ByBirth,00188,0,0
34,4.5,1,1,ConsumerStaples,1,1,0,0,1,ByBirth,00240,0,0
49,1.5,1,1,Research,0,1,0,0,1,ByBirth,00100,27,0
62.5,12.75,0,0,Energy,5,1,0,0,0,ByBirth,00112,0,0
31.42,15.5,1,1,Energy,0.5,1,0,0,0,ByBirth,00120,0,0
28.46,5,0,0,ConsumerStaples,8.5,1,0,0,0,ByBirth,00000,0,0
52.33,1.375,0,0,Energy,9.46,1,0,0,1,ByBirth,00200,100,0
28.75,1.5,0,0,Energy,1.5,1,0,0,1,ByBirth,00000,225,0
28.58,3.54,1,1,ConsumerDiscretionary,0.5,1,0,0,1,ByBirth,00171,0,0
23,0.625,0,0,ConsumerStaples,0.125,1,0,0,0,ByBirth,00180,1,0
28.46,0.5,1,1,Energy,0.835,1,0,0,1,ByOtherMeans,00320,0,0
22.5,11,0,0,Materials,3,1,0,0,1,ByBirth,00268,0,0
28.5,1,1,1,Materials,1,1,1,2,1,ByBirth,00167,500,0
37.5,1.75,0,0,Energy,0.25,1,0,0,1,ByBirth,00164,400,0
35.25,16.5,0,0,Energy,4,1,0,0,0,ByBirth,00080,0,0
18.67,5,1,1,Materials,0.375,1,1,2,0,ByBirth,00000,38,0
25,12,1,1,Financials,2.25,1,1,2,1,ByBirth,00120,5,0
27.83,4,0,0,ConsumerDiscretionary,5.75,1,1,2,1,ByBirth,00075,0,0
54.83,15.5,1,1,Education,0,1,1,20,0,ByBirth,00152,130,0
28.75,1.165,1,1,Financials,0.5,1,0,0,0,ByOtherMeans,00280,0,0
25,11,0,0,ConsumerStaples,4.5,1,0,0,0,ByBirth,00120,0,0
40.92,2.25,0,0,Utilities,10,1,0,0,1,ByBirth,00176,0,0
19.75,0.75,1,1,Energy,0.795,1,1,5,1,ByBirth,00140,5,0
29.17,3.5,1,1,Industrials,3.5,1,1,3,1,ByBirth,00329,0,0
24.5,1.04,0,0,Healthcare,0.5,1,1,3,0,ByBirth,00180,147,0
24.58,12.5,1,1,Industrials,0.875,1,0,0,1,ByBirth,00260,0,0
33.75,0.75,1,1,Financials,1,1,1,3,1,ByBirth,00212,0,0
20.67,1.25,0,0,Energy,1.375,1,1,3,1,ByBirth,00140,210,0
25.42,1.125,1,1,Materials,1.29,1,1,2,0,ByBirth,00200,0,0
37.75,7,1,1,Materials,11.5,1,1,7,1,ByBirth,00300,5,0
52.5,6.5,1,1,Financials,6.29,1,1,15,0,ByBirth,00000,11202,1
57.83,7.04,1,1,CommunicationServices,14,1,1,6,1,ByBirth,00360,1332,1
20.75,10.335,1,1,InformationTechnology,0.335,1,1,1,1,ByBirth,00080,50,1
39.92,6.21,1,1,Materials,0.04,1,1,1,0,ByBirth,00200,300,1
25.67,12.5,1,1,InformationTechnology,1.21,1,1,67,1,ByBirth,00140,258,1
24.75,12.5,1,1,ConsumerStaples,1.5,1,1,12,1,ByBirth,00120,567,1
44.17,6.665,1,1,Materials,7.375,1,1,3,1,ByBirth,00000,0,1
23.5,9,1,1,Materials,8.5,1,1,5,1,ByBirth,00120,0,1
34.92,5,1,1,Utilities,7.5,1,1,6,1,ByBirth,00000,1000,1
47.67,2.5,1,1,CommunicationServices,2.5,1,1,12,1,ByBirth,00410,2510,1
22.75,11,1,1,Materials,2.5,1,1,7,1,ByBirth,00100,809,1
34.42,4.25,1,1,ConsumerDiscretionary,3.25,1,1,2,0,ByBirth,00274,610,1
28.42,3.5,1,1,Industrials,0.835,1,0,0,0,ByOtherMeans,00280,0,1
67.75,5.5,1,1,Education,13,1,1,1,1,ByBirth,00000,0,1
20.42,1.835,1,1,Energy,2.25,1,1,1,0,ByBirth,00100,150,1
47.42,8,1,1,Education,6.5,1,1,6,0,ByBirth,00375,51100,1
36.25,5,1,1,Energy,2.5,1,1,6,0,ByBirth,00000,367,1
